10.2.2.1  sonmi
10.2.2.2  cn96100
10.2.2.3  cn96101
10.2.2.4  cn96102
10.2.2.5  cn96103
10.2.2.6  cn96104
10.2.2.7  cn96105
10.2.2.8  cn96106
10.2.2.50 cn97109
10.2.2.16 cn99101
10.2.2.17 cn99102
10.2.2.18 cn99103
10.2.2.19 cn99104
10.2.2.20 cn99105
10.2.2.21 cn99106
10.2.2.22 cn99107
10.2.2.23 cn99108
10.2.2.24 cn99109
10.2.2.25 cn99110
10.2.2.26 cn99111
10.2.2.27 cn99112
10.2.2.28 cn99113
10.2.2.29 cn99114
10.2.2.30 cn99115
10.2.2.31 cn99116
10.2.2.32 cn99117
10.2.2.33 cn99118
10.2.2.34 cn99119
10.2.2.35 cn99120
10.2.2.36 cn99121
10.2.2.37 cn99122
10.2.2.38 cn99123
10.2.2.39 cn99124
10.2.2.40 cn99125
10.2.2.41 cn99126
10.2.2.42 cn99127
10.2.2.43 cn99128

10.2.2.9  cn97101
10.2.2.10 cn97102
10.2.2.11 cn97103
10.2.2.12 cn97105
10.2.2.13 cn97106
10.2.2.14 cn97107
10.2.2.15 cn97108
